n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
0,1.0860391999999996,4.46694526493894e-05,1.0861946000000002,5.8714904411048854e-05
1,1.07399,0.00010641240529184275,1.0742863999999999,0.00017749771829515522
2,1.0622826,0.00013431544959533332,1.0627352,0.000264368228045621
3,1.0510680000000001,0.00020492340032316004,1.0516739999999998,0.00028501859588459736
4,1.0401466000000001,7.658616062972049e-05,1.0408891999999998,0.00025561643139673806
5,1.0295416,0.00011469019138529631,1.0304238,0.0002883570009554414
6,1.0192147999999999,0.00017383486416710893,1.020248,0.0004460533600366684
7,1.0093608,0.00036409745948030354,1.0105174000000001,0.0007120782541266109
8,0.9996205999999999,0.00041860797890151994,1.0009416,0.0008081934421906562
9,0.9901240000000001,0.00035245595469505294,0.991583,0.0008074015110216137
10,0.9809524,0.0003136970513090409,0.9825574000000001,0.0007807664439510963
11,0.9720456000000001,0.00034072193941685213,0.9737897999999999,0.0008115440591859225
12,0.9633638000000001,0.0003019936423171996,0.9652592,0.0008151943081253733
13,0.9548819999999999,0.00026628330777578356,0.9569174,0.00080157909154368
14,0.9466886000000001,0.00020940066857582425,0.9488628,0.0007968280617548591
15,0.9387460000000001,0.0002699992592582396,0.9410498,0.0008131438741084009
16,0.9311221999999999,0.0002669092729749285,0.9335699999999999,0.0008133579777686811
17,0.9236348,0.00027251524727985916,0.9262322,0.0008307142468984272
18,0.9164624,0.00032786985222798133,0.9192002,0.0008411419380817943
19,0.9093551999999999,0.0003017518185529204,0.9122158,0.0008722406548653871
20,0.90244,0.0002818623777661865,0.9054207999999999,0.0009140687939099627
21,0.8956828,0.00034199087707130526,0.8988046000000001,0.0009131020972487159
22,0.8890598000000001,0.00032966977416804287,0.8923358,0.0009313185062050607
23,0.8825904000000001,0.00033055625844931823,0.886004,0.0009694334427901613
24,0.8763512,0.0003492164944557977,0.8799042,0.0010220736568369163
25,0.870279,0.00036025935102367875,0.8739596000000001,0.0010397421988166057
26,0.8643302,0.0003568598604494407,0.8681509999999999,0.0010274397305924915
27,0.8585537999999999,0.000363366151423034,0.8625086,0.0010080771002259582
28,0.8529662,0.0003488939093764835,0.857045,0.0009954110708647098
29,0.8474706,0.0003391339558345394,0.8516678000000001,0.0009941256258642404
30,0.8420729999999998,0.0003243454948045334,0.846408,0.001003197886760129
31,0.8368482,0.0003130644662046681,0.8413176,0.0010286639101280835
32,0.8317944,0.0003319991566254197,0.8363836000000001,0.0010536585025519441
33,0.826867,0.0003858828837873241,0.8315778,0.001104083583792455
34,0.8220394000000001,0.0004374830739583136,0.8268988,0.0011352441851866057
35,0.8172863999999999,0.00037951368881766734,0.822249,0.0011145009645576799
36,0.812678,0.00039038801211104023,0.81775,0.001097614504277326
37,0.8081844,0.0004256982969193013,0.8133801999999999,0.0010928925656257108
38,0.8037534000000001,0.0004140983458068596,0.8090551999999999,0.001070985788887978
39,0.79949,0.0004419434352946291,0.8049337999999999,0.001072726880431358
40,0.7952978,0.00041509921705539036,0.8008862000000001,0.0010909206020604774
41,0.7912250000000001,0.00044061275514901526,0.7968957999999999,0.001096138567882716
42,0.7872096,0.00044551210982417787,0.7930067999999999,0.0011426277434054986
43,0.7833587999999999,0.000523782550301172,0.7892702,0.0011211753475705848
44,0.7795472,0.0005178669327153421,0.7855924,0.0011316813332383126
45,0.775788,0.0005159038670140059,0.7819642,0.0011370022691270308
46,0.7721522000000001,0.0005167290973034209,0.7784704,0.0011787239880480902
47,0.7686318,0.0005350885534189591,0.7750496,0.0011402646359508107
48,0.7651344000000001,0.0005321588484653886,0.7716716000000001,0.0011196595196755242
49,0.7617722,0.0005019324257307855,0.7684488,0.001139282475947029
50,0.7584848,0.0005432496295442754,0.765277,0.0010958525448252865
51,0.755228,0.0005632637037835749,0.7621538,0.0011002362291799113
52,0.7520684,0.0005551902736900177,0.7591006,0.0010858529550542035
53,0.7489543999999999,0.0005438748385428267,0.7560898,0.0010909944821125511
54,0.7459124,0.000550760419783413,0.753188,0.0010682945286764394
55,0.7429454,0.0005835891020230056,0.7503371999999999,0.0010692710414109163
56,0.7400589999999999,0.000574219818536417,0.7475948,0.0011041049587788335
57,0.7371787999999999,0.000571935101213412,0.7448394,0.0011242185908443266
58,0.7343873999999999,0.0006034154787540675,0.7421587999999999,0.0011278071466345513
59,0.7316578,0.0006254759467796945,0.7395658,0.0011381540141826181
60,0.728984,0.0006965362876405173,0.7370288,0.0011453887375035597
61,0.7263382,0.0007089932016599617,0.7345206,0.0011592691835807575
62,0.7237902,0.0006944512653887122,0.7320648000000001,0.001168870292205268
63,0.7213162000000001,0.0007402144013730115,0.7297096,0.0011858125652901667
64,0.7188754,0.000751558008406541,0.7273966,0.0012208837127261638
65,0.7164941999999999,0.0007847380199786578,0.7251348,0.0012356500151742048
66,0.714133,0.0007438795601439855,0.7228836000000001,0.0012236222619746648
67,0.7118358,0.0007421065691664747,0.7207,0.0012573723394444438
68,0.7096254,0.000754298243402423,0.7186146000000001,0.0012730064571713799
69,0.7074342,0.0007430863745218445,0.7165348,0.001315994133725525
70,0.705254,0.0007410438583512081,0.7144948,0.0013155092398003058
71,0.7031242,0.0006996657487686404,0.7124826,0.0013655247489518685
