n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
0,1.0369092,0.00019567667208943276,1.0377984,0.0002299474722627271
1,0.9852892000000001,0.000449717867112247,0.9871048,0.0007656229881606219
2,0.9409846,0.00038601274590353705,0.9435993999999999,0.0010040799968129986
3,0.902897,0.00045290572970540664,0.9063741999999999,0.0009900693713068567
4,0.8697779999999999,0.00015371532129230303,0.8740055999999999,0.0008942620644978719
5,0.8408208,0.00040888648791567446,0.845817,0.0009503820284495961
6,0.8151978,0.0004942365425582946,0.8210044,0.0013929710119022836
7,0.7930062,0.0008339682008326241,0.7995914000000001,0.002012674101785977
8,0.7730802,0.0009259886392391647,0.7803856,0.0021981578287284032
9,0.7551289999999999,0.0006755507382869292,0.7631986000000002,0.002169007570295688
10,0.739314,0.0006454403148239159,0.7480468,0.00217630268115442
11,0.7251372,0.0006355210146014175,0.734666,0.002270324646388697
12,0.7123966,0.0005039224543518689,0.7226668,0.002240952958006922
13,0.7008363999999999,0.0004365430562956857,0.7118016,0.002231308907345625
14,0.6904536,0.0003793476505792687,0.7021816,0.002269491097140478
15,0.6810676000000001,0.0006530079938254855,0.693599,0.0022753615097386064
16,0.67294,0.0008157149011756499,0.6861668,0.0021750480822271484
17,0.6653789999999999,0.0008702077912774423,0.6793748000000001,0.002079497766288785
18,0.6586396,0.0008980716229789167,0.6733936,0.002016697062029893
19,0.6522080000000001,0.000889324687614122,0.6676732,0.0020413037402601444
20,0.6463732,0.0009008448035039199,0.6625796,0.0021373353129539607
21,0.6409276,0.0011355475507436863,0.6578516,0.0020546039618378953
22,0.635822,0.0010426130634132486,0.6534894,0.0021973358050147744
23,0.631102,0.0010434621219766362,0.6494288,0.00239454525119069
24,0.6267176,0.0010940328331453353,0.6457342,0.0023132799571171877
25,0.6226421999999999,0.0011411770064279926,0.6423478,0.0022955970378095666
26,0.61886,0.0011353670772045721,0.6393456,0.002194767286069324
27,0.6153253999999999,0.0011053728058894971,0.6365732,0.002144511263668237
